25 2
16,20
10480,2489
60,69
51073,50429
375,414
45894,44878
1088,329
8494,20278
112,216
10493,23703
120,220
9584,22464
125,235
9165,21865
120,231
8936,21450
125,241
11659,27079
246,562
33679,41146
303,384
33628,41066
4472,5156
22632,26443
900,810
27012,31893
3013,2827
32022,38880
3102,3530
34280,41699
498,604
43929,51491
1119,1357
50491,58427
2475,2058
29279,33726
2209,2856
23215,29014
360,283
24077,28001
564,472
19251,24141
453,377
25658,27348
1783,1645
26871,28600
251,269
28685,12043
11259,541
15387,3241
6319,278
