mean_s,mean_lower_95,mean_upper_95
0.19405263972,-0.115667,0.499331
-0.1101105218762,-0.499196,0.372691
-0.16452035784,-0.287595,-0.0289575
0.236569205489,-0.0342562,0.499878
-0.10342540104,-0.489628,0.270755
-0.00943425945,-0.492482,0.388348
-0.00625876395369999,-0.394816,0.482585
-0.16790747735931,-0.499812,0.297171
0.033038564709,-0.128739,0.178352
-0.116855319126,-0.499563,0.366371
0.046237408313,-0.391671,0.476698
-0.45955264,-0.49986,-0.389889
-0.458335601,-0.499992,-0.386443
-0.118293360707,-0.49934,0.340003
0.022590849364,-0.315173,0.351749
0.45690404,0.378593,0.499991
0.454896233,0.371122,0.499882
0.232067095267,-0.0537963,0.498094
0.457158358,0.382746,0.499987
0.3928155655,0.20844,0.499802
0.451539531,0.369671,0.499976
0.418480962999999,0.277044,0.499981
-0.0942369984526002,-0.493948,0.340317
0.091774166962,-0.235096,0.424941
0.36008237122,0.153503,0.499711
-0.152273319503,-0.499922,0.32925
0.00924337804900001,-0.364366,0.453662
0.421483408999999,0.318763,0.499937
0.1253874524517,-0.149768,0.377675
0.029319856491,-0.382307,0.442298
0.037721037798,-0.323537,0.483627
0.107329774282,-0.276297,0.49883
0.243019722238,-0.0143677,0.4952
-0.1294297490004,-0.499938,0.239351
0.117336386602,-0.207281,0.494504
-0.167676626468,-0.499366,0.31053
-0.044272719185,-0.497562,0.387796
-0.09337939646,-0.435636,0.222907
0.110374030125,-0.00832867,0.238482
0.014060812158,-0.367963,0.472744
-0.0077339025302,-0.441117,0.423769
-0.1068824645412,-0.283715,0.10609
-0.2641942842,-0.450089,-0.0875908
-0.34594001266,-0.498945,-0.152489
-0.12238058806,-0.309026,0.109925
-0.038411536686,-0.331683,0.270585
-0.391089853,-0.499824,-0.273622
0.438795426,0.341275,0.499997
0.455076071000001,0.37943,0.499963
-0.219121354741,-0.499691,0.0675814
-0.16773184812,-0.267151,-0.0397115
0.454691381,0.372991,0.49996
-0.0850643063719999,-0.318668,0.175327
-0.091271056388,-0.49863,0.381679
0.0734724956179999,-0.296371,0.494726
-0.0941546194951399,-0.387463,0.253938
0.1433473183675,-0.197822,0.493835
0.030635287321,-0.331854,0.438543
0.242997515703,-0.057206,0.499893
0.231072211954,0.0176433,0.481834
0.2027087851559,-0.0876301,0.497969
-0.0355261359416,-0.244148,0.17878
0.3542640758,0.174123,0.499941
0.413119196300001,0.271335,0.499999
0.0775431480207999,-0.0653366,0.237889
0.0737315697041999,-0.294874,0.480373
-0.1365492313801,-0.359127,0.0994963
-0.144721263741,-0.49993,0.324168
