mean_s,mean_lower_95,mean_upper_95
0.12629517494,-0.279252,0.493764
-0.18804607436,-0.499951,0.287542
-0.1899592828119,-0.499532,0.151684
-0.013938900786,-0.44434,0.390603
-0.016207694457,-0.399781,0.455378
-0.010123979549,-0.401652,0.418506
-0.014645038372,-0.385058,0.436617
-0.017788325243,-0.422583,0.417306
0.019986249165,-0.336786,0.39544
0.01504121524,-0.380628,0.451963
-0.00664618956417,-0.166875,0.176946
-0.03670825366,-0.323674,0.249541
-0.054625003373,-0.237181,0.118446
-0.00623394903097999,-0.190589,0.205337
0.025291042679,-0.351348,0.434982
0.028686637687,-0.317203,0.3985
-0.0763069207559999,-0.333656,0.180503
0.044060007879,-0.162276,0.260773
-0.0639307990789999,-0.442669,0.34766
-0.05446581542,-0.383711,0.33605
-0.0500803540499999,-0.419857,0.347347
-0.0264926441233,-0.236801,0.224821
0.011160454663,-0.412151,0.423771
-0.447789968,-0.499896,-0.37918
-0.39157335,-0.480115,-0.293996
