mean_s,mean_lower_95,mean_upper_95
-0.000434916659,-0.356437,0.383916
-0.0046408758245,-0.182802,0.171812
0.053703348266,-0.0979088,0.182247
0.1292437502942,-0.157169,0.425765
0.08922481438,-0.204085,0.411838
-0.027310628832,-0.393124,0.349697
-0.0306136701415,-0.388701,0.351607
0.00536661750766,-0.356806,0.37809
-0.024706799817899,-0.413999,0.352244
-0.0162095541127,-0.361319,0.392654
0.00793298175800001,-0.392906,0.385126
-0.048145699618,-0.422399,0.365885
-0.019975194399,-0.427284,0.375778
-0.039952011067,-0.387336,0.339263
0.0930162702219998,-0.18876,0.41765
0.24170299055,0.107834,0.383787
-0.053610836493,-0.281994,0.187433
0.1386927586382,-0.102785,0.390196
-0.170848192,-0.26863,-0.0740487
-0.43620762,-0.499945,-0.324266
0.46066742,0.395917,0.499839
0.448221803,0.367306,0.499482
