mean_s,mean_lower_95,mean_upper_95
-0.023630936637,-0.380345,0.332282
-0.040415051033,-0.355981,0.37077
-0.064041911895,-0.414944,0.267509
0.23188072202,0.00142856,0.498783
-0.046892545292,-0.398388,0.290729
-0.04485905856,-0.371598,0.35929
-0.168325907177,-0.408573,0.0537888
0.336235834,0.168535,0.498331
0.01310927028,-0.274086,0.302252
0.0272116693202,-0.348973,0.374656
0.015412442788,-0.302352,0.407655
-0.158960420547,-0.499526,0.250693
-0.01250284864,-0.418994,0.379904
0.168339942196,-0.0570143,0.45652
0.01392239513025,-0.118085,0.168397
