199 2
0,4
10480,2489
60,69
18162,21685
251,686
34677,23662
233,309
38993,40189
1571,491
44830,46150
448,601
37107,37984
338,371
30471,28828
688,990
32806,25531
356,257
30979,36073
177,695
37327,31251
716,473
37279,31322
259,362
34200,26014
649,14723
35715,34673
7684,2805
68913,54642
2091,795
14205,16565
143,140
47056,36440
775,811
46665,36245
1206,660
43135,36247
1909,501
43310,35763
247,353
29500,21606
245,330
32751,36996
2099,2674
43811,33842
580,1004
34800,36649
3050,3417
40981,31585
276,406
31079,40818
437,690
38695,26904
1115,485
36798,18688
8324,2265
36808,18730
585,804
35635,23245
775,270
35069,25732
535,636
20363,33191
8424,29078
13955,24026
114,132
12458,21865
135,179
13516,23695
157,208
13666,23843
137,212
12534,22283
140,184
12539,22169
113,164
12655,22358
115,164
12362,22043
101,151
12326,21984
103,159
11873,21408
110,210
11210,20036
76,115
10440,12961
74,85
6583,10996
75,83
8696,10657
66,67
7268,8757
67,63
16679,26516
555,568
10550,14630
321,285
15328,22983
700,1259
45717,6222
7938,1175
31748,6883
251,101
48056,10600
436,339
32307,22788
222,501
39047,7960
1523,276
20797,6052
747,154
37661,31752
11552,522
32064,28345
9720,501
11562,9053
949,229
26736,28047
549,233
32384,27829
390,424
32130,37534
251,319
7227,11534
220,342
16799,13214
3407,12203
16276,12882
1984,11362
12735,26620
188,1059
36414,26301
6526,22525
34442,24008
251,2277
29047,19654
2674,16251
34243,24095
425,5158
40246,11512
18563,5105
51073,50429
375,414
45894,44878
1088,329
3783,23113
287,307
52059,7158
6794,1161
22438,4214
2294,131
8651,12317
123,128
4570,7469
35,63
25829,25659
4713,14625
28023,29182
219,484
19884,20500
186,170
8494,20278
112,216
6018,9873
48,129
10493,23703
120,220
5848,9378
48,128
9584,22464
125,235
9165,21865
120,231
5510,8697
48,127
8936,21450
125,241
15034,15516
348,467
11659,27079
246,562
4810,7682
98,199
7312,10296
71,91
7098,10011
71,99
11973,14522
140,1055
12599,14935
108,185
12767,15270
122,145
7187,9160
1584,5265
6886,9087
321,629
6720,8812
81,109
6472,8521
75,117
1982,4991
103,72
2291,5506
97,60
4920,41785
42,435
6576,41879
155,774
2747,7143
71,41
5122,6922
197,449
4943,4257
84,680
18588,30914
194,515
14912,18303
315,1009
8249,16650
162,133
25491,26207
357,576
22338,39742
179,516
24653,45667
237,647
23723,45296
796,952
24714,11926
9037,5550
6278,5584
63,55
6159,5435
60,63
7809,2176
889,162
12669,34809
1148,4729
8519,35514
849,4815
2960,12686
390,532
9208,15955
588,125
1969,8189
188,444
16431,1938
1237,159
16379,2000
1197,148
2758,28501
109,720
1788,7719
80,284
18112,1748
491,98
20850,3640
466,58
34964,17968
8741,722
58677,31566
3968,10505
25218,10009
3608,6492
35653,56834
8929,6650
48152,36559
1348,631
25325,4327
1632,348
13844,12651
406,98
18720,27440
329,1088
40991,14062
13951,2740
37590,11943
16040,10899
2773,5367
77,43
3446,5990
67,38
3115,5579
53,38
3679,6159
74,35
1927,3794
68,31
4404,7130
57,44
16606,4082
1075,182
4020,8378
72,117
4261,8542
618,238
33679,41146
303,384
33628,41066
4472,5156
22632,26443
900,810
27012,31893
3013,2827
32022,38880
3102,3530
34280,41699
498,604
43929,51491
1119,1357
50491,58427
2475,2058
29279,33726
2209,2856
23215,29014
360,283
24077,28001
564,472
19251,24141
453,377
25658,27348
1783,1645
26871,28600
251,269
27767,36494
239,13486
28685,12043
11259,541
23622,27630
759,201
30759,17519
459,989
21005,20505
768,389
23517,9152
493,324
9078,9309
84,68
11472,17698
798,4242
13725,19254
153,264
5646,2452
40,41
6214,5913
65,51
15387,3241
6319,278
13655,14607
100,85
13475,14375
103,86
14508,3313
95,49
47676,49155
541,812
38457,39024
10992,7946
39568,40078
1483,900
38669,38468
404,844
25444,25206
2750,7949
35576,40433
556,636
38590,31452
682,461
40877,20957
413,687
26474,10042
1280,1028
40248,22945
591,787
31433,18618
2830,1426
24982,9871
937,1325
40052,25842
4955,4618
53696,46012
4766,28581
40769,31506
3436,17753
31166,21887
328,12947
33784,27940
5999,6184
49744,38890
517,523
19700,16454
1514,688
60870,48527
536,616
40803,27096
1274,294
24027,17149
209,966
